Date,Open,High,Low,Close,Adj Close,Volume,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,decision,decision1,decision2,decision3,decision4,decision5,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,#NAME?,#NAME?,High.1,Low.1,Daily_Return,Cumulative_Return,Sentiment_Diff,Price_Sentiment_Interaction,Month,Decision6
2018-09-10,2881.39,2886.93,2875.94,2877.13,2877.13,2751100000,5.45,5.45,0,7.457142857,6.017857143,0,0,0,0,0,0,0.422222,0.314815,0.262963,1,0.365011125,0.159259,0.375266258,0.476666611,0.273865906,2916.5,2876.92,0.001897844,1.009377631,0.159259,2.3011099,9,0
2018-09-11,2871.57,2892.52,2866.78,2887.89,2887.89,2904500000,-17.09,0,17.09,6.606428571,7.238571429,1,0,1,0,0,0,0.422222,0.314815,0.262963,1,0.365011125,0.159259,0.375266258,0.476666611,0.273865906,2916.5,2876.92,0.003739838,1.01315254,0.159259,-7.21577398,9,1
2018-09-12,2888.29,2894.65,2879.2,2888.92,2888.92,3341280000,1.03,1.03,0,6.338571429,7.238571429,1,0,1,0,0,0,0.422222,0.314815,0.262963,1,0.365011125,0.159259,0.375266258,0.476666611,0.273865906,2916.5,2876.92,0.000356662,1.013513893,0.159259,0.43488866,9,0
2018-09-13,2896.85,2906.76,2896.39,2904.18,2904.18,3274090000,15.26,15.26,0,7.428571429,6.952857143,1,0,1,0,0,0,0.320896,0.350746,0.328358,1,0.361794,-0.007462,0.375266258,0.476666611,0.273865906,2894.65,2864.12,0.005282251,1.018867527,-0.007462,4.89687296,9,1
2018-09-14,2906.38,2908.3,2895.77,2904.98,2904.98,3179410000,0.8,0.8,0,6.305714286,6.952857143,1,0,1,0,0,0,0.320896,0.350746,0.328358,1,0.361794,-0.007462,0.375266258,0.476666611,0.273865906,2894.65,2864.12,0.000275465,1.01914819,-0.007462,0.2567168,9,1
2018-09-17,2903.83,2904.65,2886.16,2888.8,2888.8,2967980000,-16.18,0,16.18,6.305714286,7.186428571,0,0,1,0,0,0,0.320896,0.350746,0.328358,1,0.361794,-0.007462,0.375266258,0.476666611,0.273865906,2894.65,2864.12,-0.005569746,1.013471793,-0.007462,-5.19209728,9,1
2018-09-18,2890.74,2911.17,2890.43,2904.31,2904.31,3091190000,-25.36,0,25.36,8.307142857,8.997857143,1,1,0,0,1,0,0.320896,0.350746,0.328358,1,0.361794,-0.007462,0.375266258,0.476666611,0.273865906,2894.65,2864.12,0.005369011,1.018913135,-0.007462,-8.13792256,9,1
2018-09-19,2906.6,2912.36,2903.82,2907.95,2907.95,3302460000,3.64,3.64,0,8.567142857,5.976428571,0,1,0,0,1,0,0.320896,0.350746,0.328358,1,0.361794,-0.007462,0.375266258,0.476666611,0.273865906,2894.65,2864.12,0.00125331,1.020190149,-0.007462,1.16806144,9,1
2018-09-20,2919.73,2934.8,2919.73,2930.75,2930.75,3406520000,22.8,22.8,0,8.407142857,5.976428571,1,1,0,0,1,0,0.320423,0.359155,0.320423,1.000001,0.36244475,0,0.375266258,0.476666611,0.273865906,2912.36,2879.2,0.007840575,1.028189026,0,7.3056444,9,1
2018-09-21,2936.76,2940.91,2927.11,2929.67,2929.67,5652470000,-1.08,0,1.08,8.407142857,5.473571429,0,1,0,0,1,0,0.320423,0.359155,0.320423,1.000001,0.36244475,0,0.375266258,0.476666611,0.273865906,2912.36,2879.2,-0.000368506,1.027810132,0,-0.34605684,9,1
2018-09-24,2921.83,2923.79,2912.63,2919.37,2919.37,3392030000,-10.3,0,10.3,8.407142857,5.455714286,1,1,0,0,1,0,0.320423,0.359155,0.320423,1.000001,0.36244475,0,0.375266258,0.476666611,0.273865906,2912.36,2879.2,-0.003515754,1.024196604,0,-3.3003569,9,1
2018-09-25,2921.75,2923.95,2913.7,2915.56,2915.56,3330880000,1.58,1.58,0,8.130714286,5.385714286,0,1,0,0,1,0,0.320423,0.359155,0.320423,1.000001,0.36244475,0,0.375266258,0.476666611,0.273865906,2912.36,2879.2,-0.001305076,1.022859949,0,0.50626834,9,1
2018-09-26,2916.98,2931.15,2903.28,2905.97,2905.97,3417540000,-9.59,0,9.59,6.141428571,6.070714286,0,1,0,0,0,0,0.320423,0.359155,0.320423,1.000001,0.36244475,0,0.375266258,0.476666611,0.273865906,2912.36,2879.2,-0.003289248,1.019495509,0,-3.07285657,9,1
2018-09-27,2911.65,2927.22,2909.27,2914,2914,3101360000,8.03,8.03,0,6.715,4.85,0,1,0,0,0,0,0.362205,0.326772,0.311024,1.000001,0.37133225,0.051181,0.375266258,0.476666611,0.273865906,2940.91,2903.28,0.002763277,1.022312658,0.051181,2.90850615,9,0
